,Available Date,Headline,Housing,Latitude,Longitude,Price,URL
0,2018-08-01,Student Apartment-746 Broughton Street APT 1-single room also possible,/ 3br - ,40.455405,-79.946627,$1560,https://pittsburgh.craigslist.org/apa/d/student-apartment-746/6511617750.html
1,2018-08-01,"2 bedroom central HVAC, hardwood floor, off street parking",,40.456026,-79.947939,$1400,https://pittsburgh.craigslist.org/apa/d/2-bedroom-central-hvac/6511540511.html
2,2018-08-01,"2 bedroom central HVAC, hardwood floor, off street parking",,40.456026,-79.947939,$1400,https://pittsburgh.craigslist.org/apa/d/2-bedroom-central-hvac/6511540829.html
3,2018-03-01,"7 bedrooms, 2 bath,1 kitchen  North Oakland Shadysid",,40.456140,-79.947789,$3000,https://pittsburgh.craigslist.org/apa/d/7-bedrooms-2-bath1-kitchen/6511539406.html
4,2018-08-01,"Deluxe Apartment, Polished Wood Floors, Bright Expansive Space, Aug 1",,40.436463,-79.883856,$789,https://pittsburgh.craigslist.org/apa/d/deluxe-apartment-polished/6493738767.html
5,2018-06-01,"June 1 - 2nd floor, spacious, safe & quiet street, close to buses",,40.442718,-79.915559,$1250,https://pittsburgh.craigslist.org/apa/d/june-1-2nd-floor-spacious/6488404648.html
6,2018-05-01,5/1 - walk to the bus stop 1 block away; spacious and central,,40.432412,-79.925687,$960,https://pittsburgh.craigslist.org/apa/d/5-1-walk-to-the-bus-stop-1/6488405837.html
7,2018-04-01,"4/1 - short distance to hospitals, universities, public transport",,40.432412,-79.925730,$960,https://pittsburgh.craigslist.org/apa/d/4-1-short-distance-to/6488410154.html
8,2018-06-01,"6/1 - convenient to universities, UPMC, multiple bus lines, groceries",,40.431449,-79.928648,$960,https://pittsburgh.craigslist.org/apa/d/6-1-convenient-to/6488410806.html
9,NA,"?AUGUST All Utilities Incl'd, Private Patio, Entire 1st Floor, EIK",,40.463708,-79.932853,$1565,https://pittsburgh.craigslist.org/apa/d/august-all-utilities-incld/6511398022.html
10,2018-06-01,°ÔWalk to Campus--AC--All Utilities Incld--Tile Floors--Avail June 1°Ô,,40.451356,-79.950771,$750,https://pittsburgh.craigslist.org/apa/d/walk-to-campus-ac-all/6506880710.html
11,2018-04-01,°ÔQuiet Street--Busline--Dishwasher!--AC--Heat Incld!--Avail April 1°Ô,,40.474995,-79.927468,$880,https://pittsburgh.craigslist.org/apa/d/quiet-street-busline/6489560826.html
12,2018-04-01,Beautiful 2 BR Shadyside Apartment with balcony-Great Location-APRIL,/ 2br - ,40.453011,-79.922230,$1095,https://pittsburgh.craigslist.org/apa/d/beautiful-2-br-shadyside/6492837581.html
13,2018-07-05,1BR Apartment in Highland Park on Stanton Ave w/ Utilities Included,/ 1br - ,40.471268,-79.925273,$825,https://pittsburgh.craigslist.org/apa/d/1br-apartment-in-highland/6511286565.html
14,2018-02-26,Impressive Studios - Close to Campus and Shopping!,NA,40.450307,-79.949483,$765,https://pittsburgh.craigslist.org/apa/d/impressive-studios-close-to/6511297819.html
15,2018-02-17,Just Renovated! 3 Bed/1 Bath Available in Oakland!,,40.455381,-79.953958,$995,https://pittsburgh.craigslist.org/apa/d/just-renovated-3-bed-1-bath/6511276795.html
16,2018-08-05,Last 1 Bedroom Unit Left In South Oakland!!,/ 1br - ,40.438125,-79.953507,$815,https://pittsburgh.craigslist.org/apa/d/last-1-bedroom-unit-left-in/6511286621.html
17,2018-06-01,Beautiful 1 bedroom apartment available June 2018!!,/ 1br - ,40.452219,-79.952124,$975,https://pittsburgh.craigslist.org/apa/d/beautiful-1-bedroom-apartment/6511264099.html
18,2018-08-05,Large Two Bedroom Apartment in North Oakland Available August,/ 2br - ,40.450469,-79.951045,$1530,https://pittsburgh.craigslist.org/apa/d/large-two-bedroom-apartment/6478565967.html
19,2018-08-05,Beautiful 2 Bedrooms Available August in North Oakland,/ 2br - ,40.450740,-79.949921,$1390,https://pittsburgh.craigslist.org/apa/d/beautiful-2-bedrooms/6478578524.html
20,2018-08-05,Lovely 2 Bedroom / 2 Bath in North Oakland,/ 2br - ,40.452219,-79.952124,$1540,https://pittsburgh.craigslist.org/apa/d/lovely-2-bedroom-2-bath-in/6478586605.html
21,2018-08-05,Beautiful Studios! Amazing Location! Call us today!,NA,40.448376,-79.949713,$970,https://pittsburgh.craigslist.org/apa/d/beautiful-studios-amazing/6489017815.html
22,2018-08-01,Beautiful Two bedroom in North Oakland - Call us today!,/ 2br - ,40.450740,-79.949921,$1390,https://pittsburgh.craigslist.org/apa/d/beautiful-two-bedroom-in/6494917556.html
23,2018-08-05,Location! Location! Large 2 Bedroom on Craig St Available in August,/ 2br - ,40.450469,-79.951045,$1530,https://pittsburgh.craigslist.org/apa/d/location-location-large-2/6495248311.html
24,2018-08-05,Large 2 Bedroom / 2 Bath available in August in North Oakland,/ 2br - ,40.450469,-79.951045,$1715,https://pittsburgh.craigslist.org/apa/d/large-2-bedroom-2-bath/6495259862.html
25,2018-08-05,Beautiful Two Bedroom / 2 Bath in North Oakland on Craig Street,/ 2br - ,40.452219,-79.952124,$1540,https://pittsburgh.craigslist.org/apa/d/beautiful-two-bedroom-2-bath/6495264791.html
26,2018-06-01,Stunning Renovated Two Bedroom in Shadyside Available June,/ 2br - ,40.451668,-79.925473,$1450,https://pittsburgh.craigslist.org/apa/d/stunning-renovated-two/6496179842.html
27,2018-06-01,Gorgeous 2 bedroom apartments available June 2018!,/ 2br - ,40.451668,-79.925473,$1495,https://pittsburgh.craigslist.org/apa/d/gorgeous-2-bedroom-apartments/6511247796.html
