,Available Date,Headline,Housing,Latitude,Longitude,Price,URL
0,2018-03-01,3BR/2BA beautiful 2nd floor apartment in mini mansion,,40.451835,-79.955761,$1800,https://pittsburgh.craigslist.org/apa/d/3br-2ba-beautiful-2nd-floor/6502127247.html
1,2018-03-01,Remodeled 2 Bedroom / 1 Bathroom Apt near Squirrel Hill,/ 2br - ,40.419869,-79.929406,$1200,https://pittsburgh.craigslist.org/apa/d/remodeled-2-bedroom-1/6493517654.html
2,2018-01-26,"Close Commute to CMU, PITT- 2 Bedroom 1 Bath- Kenmawr Apartments",/ 2br - ,40.456368,-79.922573,$1445,https://pittsburgh.craigslist.org/apa/d/close-commute-to-cmu-pitt-2/6473370666.html
3,2018-01-01,**ög”≠**CMU**PITTS**LUXURY**DOWNTOWN**SQUIRREL HILL**5 BDRMS**2 BATH,,40.432369,-79.917972,$2550,https://pittsburgh.craigslist.org/apa/d/cmupittsluxurydowntownsquirrel/6439549918.html
4,2018-01-26,"Close Commute to CMU, PITT- 1 Bedroom 1 Bath- Kenmawr Apartments",/ 1br - ,40.456368,-79.922573,$1145,https://pittsburgh.craigslist.org/apa/d/close-commute-to-cmu-pitt-1/6473320162.html
5,2018-07-01,Location and Amenities - A Must-See! Steps from Squirrel Hill!,,40.421387,-79.935193,$1645,https://pittsburgh.craigslist.org/apa/d/location-and-amenities-must/6501772949.html
6,2018-08-01,Bright updated home in a great location near Squirrel Hill and Oakland,/ 3br - ,40.420374,-79.942038,$1625,https://pittsburgh.craigslist.org/apa/d/bright-updated-home-in-great/6498437876.html
7,2018-07-01,5523 Ellsworth Ave - In shadyside -  2BR/2 Bath,,40.453699,-79.934882,$1600,https://pittsburgh.craigslist.org/apa/d/5523-ellsworth-ave-in/6501514475.html
8,2018-07-31,"Reduced-1 bdrm furnished w private patio, utilities incl",,40.430800,-79.920500,$1450,https://pittsburgh.craigslist.org/apa/d/reduced-1-bdrm-furnished/6501265805.html
9,2018-08-01,4-5 Bedroom Frazier,NA,40.444000,-79.955200,$2000,https://pittsburgh.craigslist.org/apa/d/4-5-bedroom-frazier/6474937593.html
10,2018-08-01,4-5 Bedroom Frazier,NA,40.444000,-79.955200,$2000,https://pittsburgh.craigslist.org/apa/d/4-5-bedroom-frazier/6482118896.html
11,2018-02-02,One bedroom For Cato St! $400 College Students!!!!,NA,40.444000,-79.955200,$400,https://pittsburgh.craigslist.org/apa/d/one-bedroom-for-cato-st-400/6482181177.html
12,2018-04-01,"Furnished 1 Bedroom Apartment, Utilities Included",,40.454280,-79.929614,$1000,https://pittsburgh.craigslist.org/apa/d/furnished-1-bedroom-apartment/6501255093.html
13,2018-04-01,"Furnished 1 Bedroom Apartment, Utilities Included",,40.454311,-79.929614,$1000,https://pittsburgh.craigslist.org/apa/d/furnished-1-bedroom-apartment/6488331982.html
14,2018-08-01,BEAUTIFUL Apt - GREAT Location - MUST See!,,40.441068,-79.918134,$2380,https://pittsburgh.craigslist.org/apa/d/beautiful-apt-great-location/6501103401.html
15,2018-01-25,"Close to UPMC, CMU, PITT Kenmawr Apartments ONE MONTH FREE!",/ 1br - ,40.456368,-79.922573,$1245,https://pittsburgh.craigslist.org/apa/d/close-to-upmc-cmu-pitt/6473172582.html
16,2018-01-25,"Close Commute to CMU, PITT- 1 Bedroom 1 Bath- Kenmawr Apartments",/ 1br - ,40.456368,-79.922573,$1145,https://pittsburgh.craigslist.org/apa/d/close-commute-to-cmu-pitt-1/6473170385.html
17,2018-01-25,"Close Commute to CMU, PITT- 2 Bedroom 2 Bath- Kenmawr Apartments",/ 2br - ,40.456368,-79.922573,$1645,https://pittsburgh.craigslist.org/apa/d/close-commute-to-cmu-pitt-2/6473171079.html
18,2018-01-25,"Close Commute to CMU, PITT- 2 Bedroom 1 Bath- Kenmawr Apartments",/ 2br - ,40.456368,-79.922573,$1445,https://pittsburgh.craigslist.org/apa/d/close-commute-to-cmu-pitt-2/6473169702.html
19,2018-07-01,Shadyside,/ 2br - ,40.447768,-79.938873,$1650,https://pittsburgh.craigslist.org/apa/d/shadyside/6500583775.html
20,2018-02-17,"SHADYSIDE/N.oakland UPDATED 1 BDRM APT, NEW KITCHEN,HARDWOOD FLOOR",/ 1br - ,40.454268,-79.944473,$895,https://pittsburgh.craigslist.org/apa/d/shadyside-noakland-updated-1/6500357960.html
21,2018-04-13,Hurry...DON'T MISS OUT!,/ 1br - ,40.439716,-79.969806,$1100,https://pittsburgh.craigslist.org/apa/d/hurrydont-miss-out/6500177817.html
22,2018-02-22,You can't put a price on Spectacular!,/ 3br - ,40.442930,-79.970963,$1900,https://pittsburgh.craigslist.org/apa/d/you-cant-put-price-on/6500172412.html
23,2018-08-15,South Side Flats,/ 3br - ,40.426859,-79.984117,$1800,https://pittsburgh.craigslist.org/apa/d/south-side-flats/6471181258.html
24,2018-03-17,"Luxury fully-furnished home, 1 block from Walnut st",,40.449184,-79.933777,$3000,https://pittsburgh.craigslist.org/apa/d/luxury-fully-furnished-home-1/6500008730.html
25,2018-06-06,"High-end fully furnished townhouse, 1 min walk to Walnut",,40.449070,-79.932683,$4500,https://pittsburgh.craigslist.org/apa/d/high-end-fully-furnished/6500002643.html
