,Available Date,Headline,Housing,Latitude,Longitude,Price,URL
0,2018-01-30,"Close Commute to CMU, PITT- 2 Bedroom 1 Bath- Kenmawr Apartments",/ 2br - ,40.456368,-79.922573,$1445,https://pittsburgh.craigslist.org/apa/d/close-commute-to-cmu-pitt-2/6477975652.html
1,2018-01-30,"Close Commute to CMU, PITT- 1 Bedroom 1 Bath- Kenmawr Apartments",/ 1br - ,40.456368,-79.922573,$1145,https://pittsburgh.craigslist.org/apa/d/close-commute-to-cmu-pitt-1/6477975268.html
2,2018-01-30,"Close to UPMC, CMU, PITT Kenmawr Apartments ONE MONTH FREE!",/ 1br - ,40.456368,-79.922573,$1145,https://pittsburgh.craigslist.org/apa/d/close-to-upmc-cmu-pitt/6477974927.html
3,2018-01-30,"Close Commute to CMU, PITT- 2 Bedroom 1 Bath- Kenmawr Apartments",/ 2br - ,40.456368,-79.922573,$1445,https://pittsburgh.craigslist.org/apa/d/close-commute-to-cmu-pitt-2/6477973797.html
4,2018-01-30,"Close to UPMC, CMU, PITT Kenmawr Apartments ONE MONTH FREE!",/ 1br - ,40.456368,-79.922573,$1145,https://pittsburgh.craigslist.org/apa/d/close-to-upmc-cmu-pitt/6477973589.html
5,2018-01-30,"Close Commute to CMU, PITT- 1 Bedroom 1 Bath- Kenmawr Apartments",/ 1br - ,40.456368,-79.922573,$1245,https://pittsburgh.craigslist.org/apa/d/close-commute-to-cmu-pitt-1/6477971324.html
6,2018-01-30,"Close to UPMC, CMU, PITT Kenmawr Apartments ONE MONTH FREE!",/ 1br - ,40.456368,-79.922573,$1245,https://pittsburgh.craigslist.org/apa/d/close-to-upmc-cmu-pitt/6477970696.html
7,2018-01-30,"Close Commute to CMU, PITT- 2 Bedroom 1 Bath- Kenmawr Apartments",/ 2br - ,40.456368,-79.922573,$1495,https://pittsburgh.craigslist.org/apa/d/close-commute-to-cmu-pitt-2/6477970245.html
8,2018-08-01,"AUGUST 2018!, Equal Size BR's, Convenient to Pitt & CMU, Updated, AC",/ 3br - ,40.455111,-79.947660,$1620,https://pittsburgh.craigslist.org/apa/d/august-2018-equal-size-brs/6453488585.html
9,2018-08-01,LARGE 4 Bedroom / Close To CMU & Chatham / Available 8/1 /18,/ 4br - ,40.443168,-79.925773,$2640,https://pittsburgh.craigslist.org/apa/d/large-4-bedroom-close-to-cmu/6477013331.html
10,2018-08-01,LARGE 3 Bedroom / Close To CMU & Chatham / Available 8/1/18,/ 3br - ,40.443168,-79.925773,$2000,https://pittsburgh.craigslist.org/apa/d/large-3-bedroom-close-to-cmu/6476999125.html
11,2018-08-01,"Simple and Affordable, Private Apartment, Wood Floors, Parking, Aug 1",,40.439174,-79.888973,$719,https://pittsburgh.craigslist.org/apa/d/simple-and-affordable-private/6502387581.html
12,2018-08-01,"Simplicity & Comfort, Easy Transit to Oakland/Downtown, Aug 1st",,40.439190,-79.888952,$759,https://pittsburgh.craigslist.org/apa/d/simplicity-comfort-easy/6485411576.html
13,2018-06-01,June 1 OAKLAND WITHOUT THE HASSLE,,40.426869,-79.949173,$1675,https://pittsburgh.craigslist.org/apa/d/june-1-oakland-without-the/6491812512.html
14,2018-06-01,SHADYSIDE 2 BR for June,,40.453250,-79.930902,$1470,https://pittsburgh.craigslist.org/apa/d/shadyside-2-br-for-june/6513071899.html
15,2018-06-01,SHADYSIDE 1 BR for June,,40.453511,-79.930258,$1130,https://pittsburgh.craigslist.org/apa/d/shadyside-1-br-for-june/6513071754.html
16,2018-05-01,Available May 1 - Large 2 Bedroom Apartment,,40.461945,-79.946968,$1300,https://pittsburgh.craigslist.org/apa/d/available-may-1-large-2/6512954350.html
17,2018-03-01,"6 bedrooms, 2 bath,1 kitchen and living room North Oakland Shadysid",,40.456140,-79.947789,$2900,https://pittsburgh.craigslist.org/apa/d/6-bedrooms-2-bath1-kitchen/6512885224.html
18,2018-08-01,"Comfort & Simplicity by Design, Private Parking, Open Kitchen, Aug 1",,40.439157,-79.889016,$752,https://pittsburgh.craigslist.org/apa/d/comfort-simplicity-by-design/6490372800.html
19,2018-03-01,Shadyside -  Large 1 BR 3rd floor walk up S. Millvale / Morewood,/ 1br - ,40.456057,-79.947231,$995,https://pittsburgh.craigslist.org/apa/d/shadyside-large-1-br-3rd/6477455167.html
20,2018-08-01,°ÔAvail Aug 1--AC--Dishwasher--Walk to Restaurants--Heat Incld°Ô,,40.458407,-79.938267,$905,https://pittsburgh.craigslist.org/apa/d/avail-aug-1-ac-dishwasher/6512587261.html
21,2018-06-01,Beautiful Updated 2 bedroom/2 bathroom townhome in Shadyside,,40.456973,-79.930880,$2245,https://pittsburgh.craigslist.org/apa/d/beautiful-updated-2-bedroom-2/6512647545.html
22,2018-03-01,"March 1 - close to bus lines, universities, hospitals, food, park",,40.432429,-79.925687,$960,https://pittsburgh.craigslist.org/apa/d/march-1-close-to-bus-lines/6484346298.html
23,2018-04-01,"May 1 - walk to the bus stop, easy access to Oakland, hospitals, etc.",,40.432494,-79.925730,$960,https://pittsburgh.craigslist.org/apa/d/may-1-walk-to-the-bus-stop/6484367438.html
24,2018-07-01,"July - spacious & central: 2 blocks to buses, shops, food, big park",,40.432445,-79.925709,$960,https://pittsburgh.craigslist.org/apa/d/july-spacious-central-2/6484387466.html
25,2018-06-01,"6/1 - near buses lines, convenient to Oakland, UPMC, downtown",,40.442734,-79.915624,$1250,https://pittsburgh.craigslist.org/apa/d/6-1-near-buses-lines/6484658589.html
26,2018-08-01,Convenient 3 Bedroom Apt Squirrel Hill,/ 3br - ,40.425930,-79.935430,$1300,https://pittsburgh.craigslist.org/apa/d/convenient-3-bedroom-apt/6499419589.html
27,2018-04-01,Great Shadyside Location**2 BR with balcony**Free Parking**avail APRIL,/ 2br - ,40.453011,-79.922230,$1095,https://pittsburgh.craigslist.org/apa/d/great-shadyside-location2-br/6512545591.html
28,2018-08-01,3 Bedroom Apt Greenfield Area/Squirrel Hill,/ 3br - ,40.425930,-79.935430,$1300,https://pittsburgh.craigslist.org/apa/d/3-bedroom-apt-greenfield-area/6499431770.html
29,2018-08-01,°ÔAvailable August 1--Heat Included--AC--Balcony--Hardwood Floors°Ô,,40.452091,-79.928734,$1260,https://pittsburgh.craigslist.org/apa/d/available-august-1-heat/6512413726.html
30,2018-04-01,°ÔAvail April 1--Quiet Street--Busline--Dishwasher!--AC--Heat Incld!°Ô,,40.474995,-79.927468,$880,https://pittsburgh.craigslist.org/apa/d/avail-april-1-quiet-street/6487153418.html
31,2018-01-10,House on Lilac st,/ 3br - ,40.424536,-79.931921,$895,https://pittsburgh.craigslist.org/apa/d/house-on-lilac-st/6476878310.html
32,2018-08-01,Find Your New Home At Melwood Center! Summer 2018,/ 1br - ,40.444000,-79.955200,$890,https://pittsburgh.craigslist.org/apa/d/find-your-new-home-at-melwood/6512545937.html
33,2018-05-01,1BR Apartment in Highland Park on Stanton Ave W/ Off Street Parking,/ 1br - ,40.472985,-79.929906,$685,https://pittsburgh.craigslist.org/apa/d/1br-apartment-in-highland/6512506382.html
34,2018-01-30,Large One Bedroom Unit Available Now in Shadyside - Heat included!,/ 1br - ,40.457105,-79.925294,$1090,https://pittsburgh.craigslist.org/apa/d/large-one-bedroom-unit/6478679022.html
35,2018-06-01,Newly Renovated 2 Bedroom / 1.5 Bath off Walnut St in Shadyside,/ 2br - ,40.451965,-79.930988,$2060,https://pittsburgh.craigslist.org/apa/d/newly-renovated-2-bedroom-15/6479545363.html
36,2018-08-05,Awesome 1 Bedroom off Walnut Street,/ 1br - ,40.453731,-79.929295,$1025,https://pittsburgh.craigslist.org/apa/d/awesome-1-bedroom-off-walnut/6479720762.html
37,2018-08-05,Stunning 1 Bedrooms Available in August,/ 1br - ,40.448376,-79.949713,$1075,https://pittsburgh.craigslist.org/apa/d/stunning-1-bedrooms-available/6480583494.html
38,2018-08-05,"Large Studios, Convenient Location, MUST SEE!!!!",NA,40.448376,-79.949713,$945,https://pittsburgh.craigslist.org/apa/d/large-studios-convenient/6480611899.html
39,2018-08-05,Awesome Studios in South Oakland - Available August,NA,40.438125,-79.953507,$810,https://pittsburgh.craigslist.org/apa/d/awesome-studios-in-south/6480626061.html
40,2018-08-05,Studio in Amazing Location on Atwood Street,NA,40.438125,-79.953507,$995,https://pittsburgh.craigslist.org/apa/d/studio-in-amazing-location-on/6480629400.html
41,2018-08-05,Beautiful One Bedroom in South Oakland near Mad Mex,/ 1br - ,40.438125,-79.953507,$815,https://pittsburgh.craigslist.org/apa/d/beautiful-one-bedroom-in/6480635169.html
42,2018-08-05,Stunning Large 1 Bedroom Apartments on Fifth Ave,/ 1br - ,40.452380,-79.923943,$1225,https://pittsburgh.craigslist.org/apa/d/stunning-large-1-bedroom/6496143373.html
43,2018-08-01,Newly Renovated 2 Bedroom in Shadyside! Available August,/ 2br - ,40.451668,-79.925473,$1499,https://pittsburgh.craigslist.org/apa/d/newly-renovated-2-bedroom-in/6496173537.html
44,2018-08-01,"AUGUST,All Utilities Included!Convenient to Oakland, Character, Hwood!",,40.463708,-79.932853,$1565,https://pittsburgh.craigslist.org/apa/d/augustall-utilities/6512481925.html
45,2018-08-01,"Simple & Stylish Living, Open Kitchen Design, A/C, Free Parking, Aug 1",,40.439174,-79.888952,$754,https://pittsburgh.craigslist.org/apa/d/simple-stylish-living-open/6493676042.html
46,2018-05-01,"House in Bloomfield, Walk to Childrens",,40.465068,-79.948274,$960,https://pittsburgh.craigslist.org/apa/d/house-in-bloomfield-walk-to/6512475424.html
47,2018-08-05,Convenient location in Squirrel Hill North! Large 3 Bedroom Duplex!,/ 3br - ,40.445999,-79.928351,$2420,https://pittsburgh.craigslist.org/apa/d/convenient-location-in/6477286268.html
48,2018-08-05,Large 2 Bedroom on Ellsworth Ave - Available August,/ 2br - ,40.453968,-79.934140,$1470,https://pittsburgh.craigslist.org/apa/d/large-2-bedroom-on-ellsworth/6479900111.html
49,2018-07-01,1BR Apartment in Friendship on South Fairmount on 1st Floor,/ 1br - ,40.460144,-79.934885,$785,https://pittsburgh.craigslist.org/apa/d/1br-apartment-in-friendship/6512448008.html
50,2018-02-24,1.5br Apartment in Bloomfield,/ 1br - ,40.457569,-79.944667,$800,https://pittsburgh.craigslist.org/apa/d/15br-apartment-in-bloomfield/6512456916.html
51,2018-05-01,Beautiful 2 Bedroom off Walnut St in Shadyside. Call us today!,/ 2br - ,40.453731,-79.929295,$1440,https://pittsburgh.craigslist.org/apa/d/beautiful-2-bedroom-off/6479890117.html
52,2018-08-05,"Lovely One Bedroom Units on Fifth Ave - Location, Location!",/ 1br - ,40.451800,-79.925189,$1125,https://pittsburgh.craigslist.org/apa/d/lovely-one-bedroom-units-on/6496187990.html
53,2018-08-05,2 Bedroom / 2 Bath in North Oakland,/ 2br - ,40.450469,-79.951045,$1685,https://pittsburgh.craigslist.org/apa/d/2-bedroom-2-bath-in-north/6478406323.html
54,2018-05-01,Renovated Two Bedroom off Walnut Street - MUST SEE!,/ 2br - ,40.451965,-79.930988,$2085,https://pittsburgh.craigslist.org/apa/d/renovated-two-bedroom-off/6479551648.html
55,2018-08-05,Renovated 1 Bedroom in Shadyside,/ 1br - ,40.453968,-79.934140,$1160,https://pittsburgh.craigslist.org/apa/d/renovated-1-bedroom-in/6479913905.html
56,2018-08-05,Amazing One Bedrooms in Shadyside! Call us today!,/ 1br - ,40.452500,-79.931900,$1210,https://pittsburgh.craigslist.org/apa/d/amazing-one-bedrooms-in/6480697234.html
57,2018-08-05,Beautiful One Bedroom - Convenient Location in North Oakland,/ 1br - ,40.448376,-79.949713,$1075,https://pittsburgh.craigslist.org/apa/d/beautiful-one-bedroom/6489017603.html
58,2018-08-01,°ÔAvail Aug 1--Good Storage--All Utilities Incld--AC--Great Light!°Ô,,40.451291,-79.950814,$785,https://pittsburgh.craigslist.org/apa/d/avail-aug-1-good-storage-all/6501387543.html
59,2018-08-01,°ÔAvail August 1--Heat Included!--AC--Dishwasher--Hardwood Flrs°Ô,,40.458407,-79.938267,$945,https://pittsburgh.craigslist.org/apa/d/avail-august-1-heat-included/6508835309.html
60,2018-08-01,3 BR  (2nd Floor) Sunny Bright Spacious Duplex,,40.447868,-79.937373,$1815,https://pittsburgh.craigslist.org/apa/d/3-br-2nd-floor-sunny-bright/6512399850.html
61,2018-08-05,Stunning & Spacious! Studios Close to Campus!,NA,40.452219,-79.952124,$850,https://pittsburgh.craigslist.org/apa/d/stunning-spacious-studios/6512397379.html
62,2018-08-01,°ÔAvailable August 1--Walk to Walnut St--Central AC--Heat Included!°Ô,,40.451911,-79.928691,$1230,https://pittsburgh.craigslist.org/apa/d/available-august-1-walk-to/6509286964.html
63,2018-08-01,°ÔAvail August 1--AC--Heat Included!--Very Walkable--Walk-In Closet°Ô,,40.458238,-79.938074,$1005,https://pittsburgh.craigslist.org/apa/d/avail-august-1-ac-heat/6507093207.html
64,2018-03-01,"Cool Studio Apartment, South Oakland, SUBLET Now through Aug. 15, 2018",/ 1br - ,40.437296,-79.952531,$650,https://pittsburgh.craigslist.org/apa/d/cool-studio-apartment-south/6476371809.html
65,2018-03-01,"S. Oakland Studio Apt. SUBLET, Utilities Included, Free Wi-Fi & Cable",NA,40.437328,-79.952445,$650,https://pittsburgh.craigslist.org/apa/d/oakland-studio-apt-sublet/6480812039.html
66,2018-03-01,3 Bedroom House w/ View of the City from the Porch,,40.425669,-79.935473,$1275,https://pittsburgh.craigslist.org/apa/d/3-bedroom-house-view-of-the/6512334270.html
67,2018-05-01,"Move in 5/1 - 2 blocks to buses to Oakland, downtown, & hospitals",,40.432478,-79.925773,$960,https://pittsburgh.craigslist.org/apa/d/move-inblocks-to-buses-to/6487827772.html
68,2018-06-01,"Avail 4/1 - centrally located, spacious, safe",,40.432412,-79.925730,$960,https://pittsburgh.craigslist.org/apa/d/avail-4-1-centrally-located/6487828350.html
69,2018-06-01,"6/1 - near buses lines, convenient to Oakland, UPMC, downtown",,40.442669,-79.915602,$1250,https://pittsburgh.craigslist.org/apa/d/6-1-near-buses-lines/6487839192.html
70,2018-07-01,"July 1: near hospitals, universities, bus lines, food, large park",,40.432396,-79.925709,$960,https://pittsburgh.craigslist.org/apa/d/july-1-near-hospitals/6487839675.html
71,2018-06-01,"June 1 - spacious, close to everything you need & want!",,40.432412,-79.925730,$960,https://pittsburgh.craigslist.org/apa/d/june-1-spacious-close-to/6487840352.html
72,2018-08-01,Very Cozy 1 Bedroom Apartment For Rent,/ 1br - ,40.453220,-79.951237,$900,https://pittsburgh.craigslist.org/apa/d/very-cozy-1-bedroom-apartment/6512297999.html
73,2018-06-01,Beautiful Renovated 2 Bedroom in Shadyside off Walnut Street,/ 2br - ,40.451965,-79.930988,$2060,https://pittsburgh.craigslist.org/apa/d/beautiful-renovated-2-bedroom/6496536459.html
74,2018-08-05,"Big Two Bedroom on Ellsworth Ave in Shadyside - Location, Location!",/ 2br - ,40.453968,-79.934140,$1470,https://pittsburgh.craigslist.org/apa/d/big-two-bedroom-on-ellsworth/6493832640.html
75,2018-02-01,?3 bedroom/ 1 bath near universities AVAIL 2/1/18 (306C),,40.453177,-79.921286,$1795,https://pittsburgh.craigslist.org/apa/d/3-bedroom-1-bath-near/6479777653.html
76,2018-08-01,? Available 8/1..2 bedroom/1 bath/ balcony..near Mellon Park 323E,,40.453268,-79.920773,$1499,https://pittsburgh.craigslist.org/apa/d/available-8-12-bedroom-1-bath/6512254979.html
77,2018-07-01,? 2 BEDROOM/ 1 BATH ..Spacious..Available July 1 (109)..They go fast!!,,40.453268,-79.920773,$1019,https://pittsburgh.craigslist.org/apa/d/2-bedroom-1-bath/6512246064.html
78,2018-08-01,? 3 Bedroom/ 2 Bath/ Balcony Newly Renovated..Avail Aug 1 (203B),,40.453268,-79.920773,$1995,https://pittsburgh.craigslist.org/apa/d/3-bedroom-2-bath-balcony/6512246487.html
79,2018-08-05,Don't Miss Out On Calling Craig Manor HOME! Summer 2018,/ 1br - ,40.452219,-79.952124,$965,https://pittsburgh.craigslist.org/apa/d/dont-miss-out-on-calling/6512202078.html
80,2018-08-01,? 3 Bedroom Available Aug 1...close to restaurants and parks (324E),,40.452447,-79.920928,$1590,https://pittsburgh.craigslist.org/apa/d/3-bedroom-available-aug/6512198034.html
81,2018-08-01,? 2 bedroom near universities and Restaurants-AVAIL 8/1 (215F),,40.452500,-79.931900,$1299,https://pittsburgh.craigslist.org/apa/d/2-bedroom-near-universities/6512199062.html
82,2018-08-01,? 2 BEDROOM/ 1 BATH ..Spacious..Available Aug 1 (202A)..They go fast!!,,40.453268,-79.920773,$1299,https://pittsburgh.craigslist.org/apa/d/2-bedroom-1-bath/6512199528.html
83,2018-08-05,Incredible 2 BR'S - So Spacious! Close to Campus!!,/ 2br - ,40.452219,-79.952124,$1460,https://pittsburgh.craigslist.org/apa/d/incredible-2-brs-so-spacious/6512151554.html
84,2018-06-03,Shadyside Furnished 1 bedroom House,,40.444000,-79.955200,$1295,https://pittsburgh.craigslist.org/apa/d/shadyside-furnished-1-bedroom/6491556550.html
85,2018-01-31,? 2 bedroom near universities-AVAIL 8/1/18 (115F),,40.453177,-79.921286,$1299,https://pittsburgh.craigslist.org/apa/d/2-bedroom-near-universities/6479804367.html
86,2018-04-15,"Best place in the city- One unit for mid April, one unit mid July!",NA,40.465768,-79.964974,$1500,https://pittsburgh.craigslist.org/apa/d/best-place-in-the-city-one/6512119150.html
87,2018-08-01,AWESOME 1BR  SUPERB LOCATION AUG 1ST,/ 1br - ,40.450740,-79.949921,$995,https://pittsburgh.craigslist.org/apa/d/awesome-1br-superb-location/6494977324.html
88,2018-01-31,"Sunny 1bed/1bath. Hardwd Flrs, Utilities Incl, Close to grad schools",/ 1br - ,40.451212,-79.950168,$1065,https://pittsburgh.craigslist.org/apa/d/sunny-1bed-1bath-hardwd-flrs/6479860247.html
89,2018-08-01,Spacious Studios Close To Campus! Summer 2018,NA,40.450740,-79.949921,$775,https://pittsburgh.craigslist.org/apa/d/spacious-studios-close-to/6512060989.html
90,2018-06-01,Studio Apartment in East Liberty on N Negley W/ Off  Street Parking,NA,40.470668,-79.926973,$650,https://pittsburgh.craigslist.org/apa/d/studio-apartment-in-east/6512061101.html
91,2018-02-15,Studio in the Heart of Squirrel Hill,NA,40.438131,-79.920495,$710,https://pittsburgh.craigslist.org/apa/d/studio-in-the-heart-of/6497428695.html
92,2018-08-01,Beautiful 1 BR's In An Unbeatable Location! Call TODAY!!,/ 1br - ,40.450740,-79.949921,$930,https://pittsburgh.craigslist.org/apa/d/beautiful-1-brs-in-an/6512026521.html
93,2018-08-20,South Oakland,/ 4br - ,40.435738,-79.955782,$2200,https://pittsburgh.craigslist.org/apa/d/south-oakland/6481894242.html
94,2018-06-16,°ÔAll Utilities Included!--AC--Walk-in Closet--Busline--Avail June 16,,40.452423,-79.922127,$880,https://pittsburgh.craigslist.org/apa/d/all-utilities-included-ac/6490769793.html
95,2018-08-20,South Oakland,/ 2br - ,40.444000,-79.955200,$1100,https://pittsburgh.craigslist.org/apa/d/south-oakland/6500138860.html
96,2018-04-01,"Updated nice 3 bedrooms on Whipple Street, Squirrel Hill",/ 3br - ,40.421378,-79.900223,$1100,https://pittsburgh.craigslist.org/apa/d/updated-nice-3-bedrooms-on/6511950458.html
97,2018-08-01,"Great Apartment & Location, Access to Transit, Dog Friendly Aug 1st",,40.436487,-79.883856,$789,https://pittsburgh.craigslist.org/apa/d/great-apartment-location/6481706585.html
98,2018-08-01,? 3 Bedroom Available Aug 1...close to universities and parks (224E),,40.452492,-79.921065,$1590,https://pittsburgh.craigslist.org/apa/d/3-bedroom-available-aug/6511927254.html
99,2018-08-01,? 2 Bedroom/ 1 Bath  (1100 sq ft) available August 1 (211),,40.453268,-79.920773,$1019,https://pittsburgh.craigslist.org/apa/d/2-bedroom-1-bath-1100-sq-ft/6511927773.html
100,2018-08-01,? 2 BEDROOM/ 1 BATH ..Spacious..Available Aug 1 (202A)..They go fast!!,,40.453268,-79.920773,$1299,https://pittsburgh.craigslist.org/apa/d/2-bedroom-1-bath/6511928162.html
101,2018-05-01,? 2 Bedroom/1 Bath..Avail May 1..Walking Distance to Penn Ave (102),,40.453268,-79.920773,$976,https://pittsburgh.craigslist.org/apa/d/2-bedroom-1-bathavail-may/6511929414.html
102,2018-07-01,? 3 Bedroom Available July 1...close to shopping and parks (116F),,40.452443,-79.921014,$1590,https://pittsburgh.craigslist.org/apa/d/3-bedroom-available-july/6511926806.html
103,2018-02-02,Completely remodeled 3BR apartment in Squirrel Hill- 2150 Wightman St,/ 3br - ,40.431611,-79.927273,$1650,https://pittsburgh.craigslist.org/apa/d/completely-remodeled-3br/6481966299.html
104,2018-02-15,2 BR apartment WITH parking in Squirrel Hill- 5704 Wilkins Ave,/ 2br - ,40.444181,-79.925893,$1290,https://pittsburgh.craigslist.org/apa/d/2-br-apartment-with-parking/6497701989.html
105,2018-02-08,Stunning 1BR/1 Bath Apartment (36) in Oakland - 4609 Bayard St.,,40.450269,-79.949674,$1295,https://pittsburgh.craigslist.org/apa/d/stunning-1br-1-bath-apartment/6489764013.html
106,2018-02-08,1BR/1 Bath Penthouse Apt (1114) in Oakland - 3955 Bigelow Blvd.,,40.452528,-79.954194,$1635,https://pittsburgh.craigslist.org/apa/d/1br-1-bath-penthouse-apt-1114/6489767549.html
107,2018-02-09,Gorgeous 1BR/1 Bath Apartment (36) in Oakland - 4609 Bayard St.,,40.450269,-79.949674,$1295,https://pittsburgh.craigslist.org/apa/d/gorgeous-1br-1-bath-apartment/6490547974.html
108,2018-02-09,Gorgeous 1BR/1 Bath Apartment (1114) in Oakland - 3955 Bigelow Blvd.,,40.452528,-79.954194,$1635,https://pittsburgh.craigslist.org/apa/d/gorgeous-1br-1-bath-apartment/6490556083.html
109,2018-02-22,2BR townhome in Oakland - 21 Hodge St - Unit 2,/ 2br - ,NA,NA,$799,https://pittsburgh.craigslist.org/apa/d/2br-townhome-in-oakland-21/6506470302.html
110,2018-08-01,Stunning & Spacious! 2 BRs Close to Campus!,/ 2br - ,40.450740,-79.949921,$1340,https://pittsburgh.craigslist.org/apa/d/stunning-spacious-2-brs-close/6511903935.html
