,Available Date,Headline,Housing,Latitude,Longitude,Price,URL
0,2018-08-01,°ÔNear Highland Park--Dishwasher--AC--Heat Incld--Avail August 1°Ô,,40.475168,-79.928073,$630,https://pittsburgh.craigslist.org/apa/d/near-highland-park-dishwasher/6502709473.html
1,2018-03-01,1 bed 1 bath apartment right next to UPMC Shadyside! Great amenities !,/ 1br - ,40.454392,-79.944009,$1075,https://pittsburgh.craigslist.org/apa/d/1-bed-1-bath-apartment-right/6509535448.html
2,2018-05-01,"SQ HILL STUDIO , BEAUTIFUL AND HUGE  STUDIO APT ,HARDWOOD FLOORS, NEW",/ 1br - ,40.434569,-79.924473,$825,https://pittsburgh.craigslist.org/apa/d/sq-hill-studio-beautiful-and/6509543354.html
3,2018-08-01,°ÔHeat Included!--AC--Quiet Street--Private Entrance--Avail August 1°Ô,,40.475012,-79.927468,$1205,https://pittsburgh.craigslist.org/apa/d/heat-included-ac-quiet-street/6506752089.html
4,2018-08-01,°ÔAvailable August 1--Courtyard--Heat Incld--Hardwood Floors--A/C°Ô,,40.451601,-79.953711,$1390,https://pittsburgh.craigslist.org/apa/d/available-august-1-courtyard/6506760804.html
5,2018-08-01,°ÔAvailable August 1--Heat Included!--Hardwood--Private Entrance°Ô,,40.458181,-79.938047,$985,https://pittsburgh.craigslist.org/apa/d/available-august-1-heat/6506784800.html
6,2018-08-01,"SQUIRREL  HILL  2 BDRM,HEAT INC, HARDWD FLOORS, NEW KITCHEN , LARGE BA",/ 2br - ,40.434569,-79.924473,$1395,https://pittsburgh.craigslist.org/apa/d/squirrel-hill-2-bdrmheat-inc/6509529868.html
7,2018-02-25,"SHADYSIDE/N.oakland UPDATED 1 BDRM APT, NEW KITCHEN,HARDWOOD FLOORS,",/ 1br - ,40.454268,-79.944473,$910,https://pittsburgh.craigslist.org/apa/d/shadyside-noakland-updated-1/6509520792.html
8,2018-08-01,"AUGUST,All Utilities Included!Convenient to Oakland, Character, Hwood!",,40.463708,-79.932853,$1565,https://pittsburgh.craigslist.org/apa/d/augustall-utilities/6473427521.html
9,2018-02-15,"Squirrel Hill 2BR w/ garage, free laundry, A/C, D/W",,40.425242,-79.928112,$1050,https://pittsburgh.craigslist.org/apa/d/squirrel-hill-2br-garage-free/6501051379.html
10,2018-05-01,"Big, Bright 1 Br near Bryant St in Highland Park",,40.475150,-79.920044,$800,https://pittsburgh.craigslist.org/apa/d/big-bright-1-br-near-bryant/6501051687.html
11,2018-06-16,°ÔAll Utilities Included!--AC--Walk-in Closet--Busline--Avail June 16,,40.452395,-79.922258,$880,https://pittsburgh.craigslist.org/apa/d/all-utilities-included-ac/6506119836.html
12,2018-06-01,SHADYSIDE 2 BR for June,,40.453234,-79.930923,$1475,https://pittsburgh.craigslist.org/apa/d/shadyside-2-br-for-june/6491871710.html
13,2018-06-01,SHADYSIDE 1 BR for June,,40.453593,-79.930258,$1130,https://pittsburgh.craigslist.org/apa/d/shadyside-1-br-for-june/6496285698.html
14,2018-06-01,"5740 Elmer Street, Apt.#1, June 1. Ground floor apt -West (sunny) side",,40.453603,-79.930228,$1130,https://pittsburgh.craigslist.org/apa/d/5740-elmer-street-apt1-june-1/6503393588.html
15,2018-06-01,"706 Summerlea Street, #3 3rd fl, front, Avail. June 1",,40.453351,-79.930502,$1475,https://pittsburgh.craigslist.org/apa/d/706-summerlea-street-3-3rd-fl/6503435467.html
16,2018-06-01,SHADYSIDE 1 BR for June,,40.453625,-79.930344,$1130,https://pittsburgh.craigslist.org/apa/d/shadyside-1-br-for-june/6504171916.html
17,2018-06-01,SHADYSIDE 2 BR for June,,40.453201,-79.930880,$1475,https://pittsburgh.craigslist.org/apa/d/shadyside-2-br-for-june/6504211465.html
18,2018-08-01,°ÔAugust 1--Heat Included!--Central Air-- In the Heart of Shadyside°Ô,,40.451862,-79.928670,$1155,https://pittsburgh.craigslist.org/apa/d/august-1-heat-included/6509294856.html
19,2018-08-01,°ÔHeat Included!--A/C--Close To Walnut Street--Available August 1°Ô,,40.451813,-79.927790,$1510,https://pittsburgh.craigslist.org/apa/d/heat-included-c-close-to/6508956808.html
20,2018-08-01,°ÔAvailable August 1--Great Location--Heat Included--AC--Dishwasher°Ô,,40.458407,-79.938267,$975,https://pittsburgh.craigslist.org/apa/d/available-august-1-great/6508891400.html
21,2018-05-01,Centre Ave@ Morgan St Close 2 Oakland,,40.446060,-79.969124,$800,https://pittsburgh.craigslist.org/apa/d/centre-ave-morgan-st-close-2/6508636199.html
22,2018-05-01,SHADYSIDE/BLOOMFIELD,,40.459568,-79.944973,$1450,https://pittsburgh.craigslist.org/apa/d/shadyside-bloomfield/6508433256.html
23,2018-02-27,"So much space, so close to everything!",/ 2br - ,40.441085,-79.970512,$1495,https://pittsburgh.craigslist.org/apa/d/so-much-space-so-close-to/6508346610.html
24,2018-02-27,Well HURRY UP!!!!  It will go quickly!,NA,40.440529,-79.968688,$895,https://pittsburgh.craigslist.org/apa/d/well-hurry-up-it-will-go/6508342790.html
25,2018-08-01,***Unique Split level Apt---A must see***,/ 1br - ,40.451731,-79.949108,$1050,https://pittsburgh.craigslist.org/apa/d/unique-split-level-apt-must/6491535750.html
26,2018-08-23,Oakland house for rent,/ 2br - ,40.431912,-79.955631,$1000,https://pittsburgh.craigslist.org/apa/d/oakland-house-for-rent/6507906079.html
27,2018-04-01,Friendship Carriage House - everything included!,/ 1br - ,40.461185,-79.935923,$1800,https://pittsburgh.craigslist.org/apa/d/friendship-carriage-house/6507876025.html
28,2018-03-01,"LARGE ONE,TWO AND THREE BEDROOM APTS AVAILABLE MARCH,APRIL OR MAY 2018",,40.472300,-79.913200,$735,https://pittsburgh.craigslist.org/apa/d/large-onetwo-and-three/6507666082.html
29,2018-08-01,1 Bedroom Charming Apartments!!! Must see!!!!,NA,40.444000,-79.955200,$695,https://pittsburgh.craigslist.org/apa/d/1-bedroom-charming-apartments/6480920127.html
30,2018-08-01,4 Bedroom Beautiful Renovated Apartments!!!,NA,40.444000,-79.955200,$1895,https://pittsburgh.craigslist.org/apa/d/4-bedroom-beautiful-renovated/6480925392.html
31,2018-08-01,Spacious Renovated 3 Bedroom Apartment!!!!,NA,40.444000,-79.955200,$1695,https://pittsburgh.craigslist.org/apa/d/spacious-renovated-3-bedroom/6480931692.html
32,2018-08-01,? 2 bedroom..walking distance to two parks/Walnut St   (320D),,40.452430,-79.921065,$1299,https://pittsburgh.craigslist.org/apa/d/2-bedroomwalking-distance-to/6503975783.html
33,2018-08-01,? 3 bedroom/ 1 bath/ balcony..Avail 8/1 (100A),,40.452443,-79.921117,$1790,https://pittsburgh.craigslist.org/apa/d/3-bedroom-1-bath-balconyavaila/6504942503.html
34,2018-08-01,? 3 Bedroom/2 Bath/Balcony..Renovated Kitchen/Bath..Avail 8/1 (303B),,40.452339,-79.921100,$1995,https://pittsburgh.craigslist.org/apa/d/3-bedroom-2-bath/6504943267.html
35,2018-08-01,? 2 bed/ 1 bath/ balcony/patio ..Avail Aug 1  (122D),,40.452483,-79.921065,$1560,https://pittsburgh.craigslist.org/apa/d/2-bed-1-bath-balcony-patio/6504943928.html
36,2018-08-01,? 2 BEDROOM/ 1 BATH ..Spacious..Available Aug 1 (A3-E)..They go fast!!,,40.452401,-79.921134,$949,https://pittsburgh.craigslist.org/apa/d/2-bedroom-1-bath/6504944546.html
