,Available Date,Headline,Housing,Latitude,Longitude,Price,URL
0,2018-05-05,Impressive 2 BR- Full of Charming Features!,/ 2br - ,40.453731,-79.929295,$1440,https://pittsburgh.craigslist.org/apa/d/impressive-2-br-full-of/6490395763.html
1,2018-08-05,2 Full Bathrooms & A Balcony! This Unit Has It All!,/ 2br - ,40.450469,-79.951045,$1685,https://pittsburgh.craigslist.org/apa/d/2-full-bathrooms-balcony-this/6490396410.html
2,2018-05-05,Open Floor Plan - 2 BR Full of Stunning Updates!,/ 2br - ,40.451965,-79.930988,$2085,https://pittsburgh.craigslist.org/apa/d/open-floor-plan-2-br-full-of/6497415843.html
3,2018-06-05,Impressive 2 BR's Full of Stunning Updates! June 2018,/ 2br - ,40.427816,-79.919848,$1420,https://pittsburgh.craigslist.org/apa/d/impressive-2-brs-full-of/6497417492.html
4,2018-08-01,"Supremely Spacious, Wood Floors, Bright Interior, Dog Friendly, Aug 1",,40.436561,-79.883823,$819,https://pittsburgh.craigslist.org/apa/d/supremely-spacious-wood/6485349883.html
5,2018-05-01,Fantastic Apartment With Stunning Updates!,/ 2br - ,40.453731,-79.929295,$1440,https://pittsburgh.craigslist.org/apa/d/fantastic-apartment-with/6493682581.html
6,2018-08-01,Wonderful 3 bedroom duplex available for August 2018!,/ 3br - ,40.444000,-79.955200,$2090,https://pittsburgh.craigslist.org/apa/d/wonderful-3-bedroom-duplex/6481047410.html
7,2018-02-05,w/ Balcony - Brett Apartments (Shadyside),/ 2br - ,40.455398,-79.931922,$1580,https://pittsburgh.craigslist.org/apa/d/balcony-brett-apartments/6485262993.html
8,2018-02-05,Thames Manor Apartments,/ 1br - ,40.455217,-79.932843,$945,https://pittsburgh.craigslist.org/apa/d/thames-manor-apartments/6485263844.html
9,2018-08-05,ONE 4 BEDROOM LEFT FOR A NEW LOWER PRICE! FOR AUGUST 2018!!,/ 4br - ,40.444000,-79.955200,$1799,https://pittsburgh.craigslist.org/apa/d/one-4-bedroom-left-for-new/6485433871.html
10,2018-02-07,Beautiful 2 Bedroom Apartment Available May 2018!,/ 2br - ,40.452500,-79.931900,$1440,https://pittsburgh.craigslist.org/apa/d/beautiful-2-bedroom-apartment/6487926637.html
11,2018-02-07,Beautiful 2 bedroom Duplex Available August 2018!,/ 2br - ,40.430800,-79.920500,$1465,https://pittsburgh.craigslist.org/apa/d/beautiful-2-bedroom-duplex/6487960201.html
12,2018-02-07,Wonderful 2.5 bedroom duplex Available August 2018!,/ 2br - ,40.430800,-79.920500,$1220,https://pittsburgh.craigslist.org/apa/d/wonderful-25-bedroom-duplex/6488011961.html
13,2018-02-08,Awesome studios available for August 2018!,NA,40.444000,-79.955200,$850,https://pittsburgh.craigslist.org/apa/d/awesome-studios-available-for/6488966429.html
14,2018-02-08,Amazing 4 bedroom at a new lower price!! Available August 2018!,/ 4br - ,40.453049,-79.951109,$1799,https://pittsburgh.craigslist.org/apa/d/amazing-4-bedroom-at-new/6489069481.html
15,2018-02-07,Wonderful 3 bedroom duplex Available August 2018!,/ 3br - ,40.430800,-79.920500,$1545,https://pittsburgh.craigslist.org/apa/d/wonderful-3-bedroom-duplex/6487893658.html
16,2018-02-08,w/ Balcony - Dawson Village Apt. (Oakland),/ 1br - ,40.435083,-79.952630,$915,https://pittsburgh.craigslist.org/apa/d/balcony-dawson-village-apt/6490360691.html
17,2018-08-05,OPEN HOUSE TO VIEW 2 BEDROOMS AVAILABLE AUGUST 2018!,/ 2br - ,40.444000,-79.955200,$1530,https://pittsburgh.craigslist.org/apa/d/open-house-to-view-2-bedrooms/6497876328.html
18,2018-08-05,BEAUTIFUL 3 BEDROOM DUPLEX AVAILABLE AUGUST 2018!,/ 3br - ,40.453107,-79.953974,$2090,https://pittsburgh.craigslist.org/apa/d/beautiful-3-bedroom-duplex/6497881677.html
19,2018-08-05,Wonderful 1 bedroom apartment in the heart of Shadyside!,/ 1br - ,40.452500,-79.931900,$1010,https://pittsburgh.craigslist.org/apa/d/wonderful-1-bedroom-apartment/6502049522.html
20,2018-08-01,Awesome 1 bedroom apartment available August 2018!,/ 1br - ,40.444000,-79.955200,$885,https://pittsburgh.craigslist.org/apa/d/awesome-1-bedroom-apartment/6502079976.html
21,2018-08-01,Amazing 3 bedroom duplex Available August 2018!,/ 3br - ,40.430800,-79.920500,$1390,https://pittsburgh.craigslist.org/apa/d/amazing-3-bedroom-duplex/6502126550.html
22,2018-08-05,Awesome 2 bedroom apartment for August 2018 move in!,/ 2br - ,40.444000,-79.955200,$1685,https://pittsburgh.craigslist.org/apa/d/awesome-2-bedroom-apartment/6502162797.html
23,2018-08-05,Beautiful Studios! Fantastic location! Available August 2018!,NA,40.444000,-79.955200,$750,https://pittsburgh.craigslist.org/apa/d/beautiful-studios-fantastic/6502236777.html
24,2018-08-05,Awesome 3 bedroom 1.5 bathroom Duplex available August 2018!,/ 3br - ,40.444000,-79.955200,$2090,https://pittsburgh.craigslist.org/apa/d/awesome-3-bedroom-15-bathroom/6505921553.html
25,2018-05-01,Gorgeous 2 bedroom apartment in the heart of Shadyside available 05/18,/ 2br - ,40.452500,-79.931900,$1440,https://pittsburgh.craigslist.org/apa/d/gorgeous-2-bedroom-apartment/6505945158.html
26,2018-05-01,Attractive & Modern Design! Washer & Dryer in Unit!,/ 2br - ,40.451965,-79.930988,$2085,https://pittsburgh.craigslist.org/apa/d/attractive-modern-design/6493681307.html
27,2018-08-05,Spacious & Stunning! 2 BRS Close to Campus!,/ 2br - ,40.452219,-79.952124,$1285,https://pittsburgh.craigslist.org/apa/d/spacious-stunning-2-brs-close/6485303556.html
28,2018-05-05,Attractive & Modern Design! Washer & Dryer in Unit!,/ 2br - ,40.451965,-79.930988,$2085,https://pittsburgh.craigslist.org/apa/d/attractive-modern-design/6485308157.html
29,2018-08-05,Spacious 3 BR / 2 Bath In Prime Shadyside Location,/ 4br - ,40.458484,-79.927537,$1625,https://pittsburgh.craigslist.org/apa/d/spacious-3-br-2-bath-in-prime/6485308665.html
30,2018-08-05,Find Your New Home On Craig Street! August 2018,/ 1br - ,40.444000,-79.955200,$1070,https://pittsburgh.craigslist.org/apa/d/find-your-new-home-on-craig/6493653337.html
31,2018-08-05,Stunning 2 BR / 2 Bath With Balcony!,/ 2br - ,40.450469,-79.951045,$1685,https://pittsburgh.craigslist.org/apa/d/stunning-2-br-2-bath-with/6485277442.html
32,2018-01-08,Find Your New Home On Craig Street! August 2018,/ 1br - ,40.444000,-79.955200,$1070,https://pittsburgh.craigslist.org/apa/d/find-your-new-home-on-craig/6490198122.html
